Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,485243022,6225.42189341174,10260588,131.63814063971796,1437257,6137553,78.74169248367862,31344,0.4021276246752454,3686,
United States of America,Americas,79292582,23955.271,199826,60.37,25676,971569,293.523,4693,1.418,722
India,South-East Asia,43024440,3117.703,9753,0.707,1225,521129,37.763,4457,0.323,28
Brazil,Americas,29882397,14058.374,199782,93.989,30056,659241,310.144,1545,0.727,285
France,Europe,24696973,37972.35,941669,1447.845,169024,138951,213.641,802,1.233,149
Germany,Europe,21104509,25376.15,1507979,1813.2,274901,129391,155.58,1569,1.887,279
The United Kingdom,Europe,21073013,31041.764,499427,735.685,39798,165187,243.33,723,1.065,27
Russian Federation,Europe,17842925,12226.67,152917,104.785,19277,368722,252.663,2502,1.714,345
Turkey,Europe,14846224,17603.021,102787,121.874,14993,97977,116.17,456,0.541,53
Italy,Europe,14567990,24425.933,497540,834.218,71411,159224,266.969,970,1.626,170
Republic of Korea,Western Pacific,13095631,25542.889,2272913,4433.293,320743,16230,31.656,2328,4.541,375
Spain,Europe,11532099,24363.96,71907,151.919,0,102319,216.17,110,0.232,0
Viet Nam,Western Pacific,9472254,9731.243,992503,1019.64,85765,42454,43.615,379,0.389,41
Argentina,Americas,9032162,19984.528,12502,27.662,0,127970,283.146,218,0.482,0
Netherlands,Europe,7833842,45002.463,207375,1191.291,27818,21961,126.158,126,0.724,35
Iran (Islamic Republic of),Eastern Mediterranean,7159733,8524.207,15201,18.098,2987,140158,166.869,356,0.424,49
Japan,Western Pacific,6504873,5143.149,315057,249.103,52765,28010,22.146,654,0.517,97
Colombia,Americas,6084240,11957.339,2307,4.534,301,139595,274.346,110,0.216,10
Indonesia,South-East Asia,6009486,2197.063,22656,8.283,0,155000,56.668,657,0.24,0
Poland,Europe,5962931,15709.229,38055,100.255,4991,115173,303.421,547,1.441,133
Mexico,Americas,5654311,4385.473,4155,3.223,1,322845,250.398,75,0.058,0
Ukraine,Europe,4966800,11356.902,17517,40.054,2558,107957,246.85,178,0.407,39
Australia,Western Pacific,4263103,16718.127,395257,1550.035,66953,5962,23.38,173,0.678,34
Malaysia,Western Pacific,4183359,12925.166,128433,396.815,15941,34939,107.95,339,1.047,33
Israel,Europe,3909077,45162.711,91009,1051.454,12093,10485,121.136,16,0.185,0
