COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,2022-03-22,5751015,5082824,14.773,13.057,4420127,11.355,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,4,,
Albania,ALB,EURO,REPORTING,2022-03-13,2764839,1296838,96.1,45.568,1215359,42.705,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5,252642,8.8
Algeria,DZA,AFRO,REPORTING,2022-03-09,13704895,7461932,31.253,17.017,6110712,13.935,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4,490676,1.119
American Samoa,ASM,WPRO,REPORTING,2022-03-17,97346,43637,176.361,79.057,39137,70.904,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3,15135,27.42
Andorra,AND,EURO,REPORTING,2022-03-13,151997,57817,196.7,75.898,53367,70.057,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3,40813,52.8
Angola,AGO,AFRO,REPORTING,2022-03-25,17535411,11235059,53.354,34.184,5993792,18.237,SII - Covishield,2021-03-10,1,306560,0.933
Anguilla,AIA,AMRO,REPORTING,2022-03-25,22714,10572,151.406,70.471,9624,64.151,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2,2518,16.784
Antigua and Barbuda,ATG,AMRO,REPORTING,2022-03-25,125386,63836,128.038,65.186,61550,62.852,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6,,
Argentina,ARG,AMRO,REPORTING,2022-03-25,96196458,40876997,212.844,90.444,36884932,81.611,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7,18737846,41.459
Armenia,ARM,EURO,REPORTING,2022-03-13,2088962,1113472,70.5,37.576,948778,32.018,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Sinovac - CoronaVac",2021-06-16,5,31064,1
Aruba,ABW,AMRO,REPORTING,2022-03-25,168887,87804,158.184,82.24,81083,75.945,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2,,
Australia,AUS,WPRO,REPORTING,2022-03-19,55680095,22162034,218.354,86.91,20931268,82.084,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-21,5,12484446,48.959
Austria,AUT,EURO,REPORTING,2022-03-20,17988516,6811616,202.1,76.526,6585985,73.991,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,4941323,55.5
Azerbaijan,AZE,EURO,REPORTING,2022-03-20,13205774,5339764,130.2,52.665,4814574,47.485,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4,3051438,30.1
Bahamas,BHS,AMRO,REPORTING,2022-03-25,334155,164961,84.974,41.949,156089,39.693,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-14,4,24540,6.24
Bahrain,BHR,EMRO,REPORTING,2022-03-23,3421273,1232740,201.065,72.447,1216033,71.465,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-11-04,8,972500,57.153
