ISO3,VACCINE_NAME,PRODUCT_NAME,COMPANY_NAME,AUTHORIZATION_DATE,START_DATE,END_DATE,COMMENT,DATA_SOURCE
JEY,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,OWID
JEY,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
JEY,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
GGY,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,OWID
GGY,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
GGY,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
SHN,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
RUS,SRCVB - EpiVacCorona,EpiVacCorona,State Research Center of Virology & Biotechnology,,,,,OWID
IMN,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,OWID
IMN,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
IMN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
GIB,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
GIB,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
GRL,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,OWID
FRO,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,OWID
FRO,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
TUR,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
TUR,Sinovac - CoronaVac,Coronavac,Sinovac,,,,,OWID
TUR,Turkovac,,,,,,,OWID
XKX,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
XKX,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
BIH,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
BIH,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
BIH,Sinovac - CoronaVac,Coronavac,Sinovac,,,,,OWID
FLK,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
CHN,Anhui ZL - Zifivax,Zifivax,Anhui Zhifei Longcom Biopharmaceutical,2021-03-17,2021-03-17,,,REPORTING
TKM,Anhui ZL - Zifivax,Zifivax,Anhui Zhifei Longcom Biopharmaceutical,,2021-02-24,,,REPORTING
UZB,Anhui ZL - Zifivax,Zifivax,Anhui Zhifei Longcom Biopharmaceutical,,2021-04-28,,,REPORTING
CHN,Shenzhen - LV-SMENP-DC,LV-SMENP-DC,Shenzhen GenoImmune Medical Institute,2021-05-14,2021-06-01,,,REPORTING
IRN,Finlay - Soberana-02,Soberana-02,Instituto Finlay de Vacunas,,,,,REPORTING
NIC,Finlay - Soberana-02,Soberana-02,Instituto Finlay de Vacunas,,2021-10-25,,,REPORTING
VEN,Finlay - Soberana-02,Soberana-02,Instituto Finlay de Vacunas,,,,,REPORTING
CUB,Finlay - Soberana-02,Soberana-02,Instituto Finlay de Vacunas,,,,,REPORTING
CHN,IMB - Covidful,Covidful,Insitute of Medical Biology,2021-06-09,2021-06-09,,,REPORTING
TKM,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,,2021-02-24,,,REPORTING
VNM,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,2021-03-23,2021-08-01,,,REPORTING
GAB,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,,,,,REPORTING
ARE,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,,,,,REPORTING
